video_Id,comment,label,,
u97vScib2p4,"Slt, j’aimerai bien savoir si le M1 pro gère bien les machines virtuelles avec un Windows et un Linux ?merci",1,,
u97vScib2p4,"Bonjour. Excellente vidéo très intéressante, par contre je suis encore plus perdu. Je suis étudiant en informatique j'ai besoin de pas mal de puissance. Hormis ça,  je me fais pas mal de prods et me lance dans la vidéo. Lequel choisir pour ces utilisations et qui durer dans le temps?? Help",1,0,Non pertinent
u97vScib2p4,Moi j'ai pris le MacBook Pro M1 16Go RAM 512go SSD  en Septembre et j'aime beaucoup moi je pense que Apple ne devrait pas le retirer car tout le monde n'a pas les moyens pour les nouveaux. J'utilise le mien pour le community management création de contenu etc La touche Bar j'aime beaucoup! J'ai voulu attendre les nouveaux mais je ne suis pas réellement fan sur le design l'encoche. Et le Mac book Air trop fin pour moi et je trouve pas aussi performant que le MBP après il est performant c'est vrai !!!,1,1,Pertinent
u97vScib2p4,Salut tu fais un concours cette année ?,0,,4
u97vScib2p4,Jamais je mettrais 5000 balles dans ce truc complètement ratatiné. Chromebook c'est le best,0,,
u97vScib2p4,"1200€ pour faire tourner logic pro x tu recommandes quel mac? 
merci pour ta vidéo c’est parfait ",0,,
u97vScib2p4,"On peut plus rien commander chez Apple... dommage, quelqu'un sait quand ils remettrons les stock?",0,,
u97vScib2p4,"JB tu en fais quoi de tous ces MAC????????? Tu les revends ou tu les stocks dans un placard? 
Perso un seul ça suffit, d'en avoir autant ce n'est pas bon pour la planète MDR",0,,
u97vScib2p4,"J’ai pris un MacBook Pro 13 en septembre, c’est vraiment choquant la durée de la batterie, l’ordinateur reste froid même en l’utilisant dans le lit, aucun bruit, très fluide pour mon utilisation, sûrement l’un des meilleurs investissement que j’ai pu faire",1,,
u97vScib2p4,Bonjour JB L sava,0,,
u97vScib2p4,"Super vidéo, merci !
Petite question, vu que l'écran du M1 Pro 14 est plus grand, est-ce qu'il se rapproche pas de la taille du MacBook 15 ancienne génération ( 2018, etc ) ?",1,,
u97vScib2p4,"Hello JB merci pour cette vidéo
Tu penses que le nouveau Macbook air va sortir en Mai/juin ou plutôtoctobre ? :) 
Merci pour ton retour,",1,,
u97vScib2p4,"Super vidéo, merci !
Petite question, vu que l'écran du M1 Pro 14 est plus grand, est-ce qu'il se rapproche pas de la taille du MacBook 15 ancienne génération ( 2018, etc ) ?",1,,
u97vScib2p4,A quand des iMacs M1 Pro et M1 Max ? C'est un peu ça le produit que j'attends. Je ne me vois pas revenir sur un ordi portable.,1,,
u97vScib2p4,Le problème du Macbook air M1 c'est qu'il chauffe assez vite si on souhaite par exemple faire un peu de montage vidéo (je dirais au bout de 40 minutes). C'est dommage d'avoir une baisse de performance en aussi peu de temps.,1,,
u97vScib2p4,"Salut JB !
Je crush en ce moment sur un petit bijoux de moniteur, c le galaxy odyssey g9 de 49"" !
Si jamais tu t’ennuies ( ) tu voudrais pas nous le tester ?? 
PS: continue comme ça t’es vidéos sont géniales !",1,,
u97vScib2p4,Moi je suis équipé en full M1 avec le MacBook Pro et l'IMac; et pour la retouche photos j'en suis ravis (je suis photographe).,1,,
u97vScib2p4,Ton bilan carbone doit être horrible :-(,0,,
u97vScib2p4,"Bonjour Jean Barde 
Bon alors pour commencer tu dis que tu es musicien alors que la dernierre video ou ta mis de la bonne musique c'etait celle de l'imac pro c'est bien dommage que tu nous faisse pas profiter hhh et puis autre chose 10:20 le 14 pouces m1 max n'existe pas lol si si je suis aller verifer hhhhhh et merci super video moi je reste sur mon air m1 il est super puree je deteste les ventilo 
bon courage pour dautres video ^^ bye <3",1,,
u97vScib2p4,J’attend le nouveau MacBook air j’espère qu’il sortira en 2022,1,,
u97vScib2p4,M1 correspond bien à mon besoin mais je prefere 14 pouce à 13 pouce,1,,
u97vScib2p4,"Je me tâte à prendre soit le mb 13 ou le Air..
Sans le ventilateur..ça risque pas être handicapant sur la durée ??",0,,
u97vScib2p4,"N'y a-t-il pas de différence en terme de batterie entre le M1 Pro et M1 Max (à taille d'écran équivalente)?
J'imagine que vu que le M1 Max est plus puissant la batterie doit durer un peu moins longtemps",1,,
u97vScib2p4,"Merci pour ta vidéo, stp tu dis que tu reviens d’Hawaii, as tu fais une quatorzaine?? Quelle difficulté tu as rencontré par rapport au covid la bas?? Merci d’avance et félicitations pour tes vidéos",0,,
u97vScib2p4,Wow avec cette collection de mac tu dois te sentir comme à la fnac chez toi   Super guide de sélection !,0,,
u97vScib2p4,"J'utilise le MacBook Air M1 avec 16Go de ram depuis plus de 6 mois pour du développement web et il est juste excellent, les M1 classiques vont convenir à la très grande majorit",1,,
u97vScib2p4,"J'utilise le MacBook Air M1 avec 16Go de ram depuis plus de 6 mois pour du développement web et il est juste excellent, les M1 classiques vont convenir à la très grande majorit",1,,
u97vScib2p4,"Peux-tu me conseiller quel mac? à 70% je retouché des photos raw a 45 mégapixels
30% je fait du milticam de 5 piste en 1080p sur premier pro alor suis perdu aide moi un peu a choisir un bon mac pour mon usage",0,,
u97vScib2p4,"Merci pour la vidéo ! Une petite question le MacBook M1 pro 14"" peu tenir combien des temps sur batterie en retouche photo sur photoshop",1,,
u97vScib2p4,Moi tu mas convaincu sur pas mal de produit tel que l apple watch iphone mac airpods max,0,,
u97vScib2p4,Bonjour que me conseiller vous pour remplacer un mac book pro 2015 svp?,0,,
u97vScib2p4,"Tellement envie de savoir quel nouvel IMac va sortir ? Je fonds pour le jaune, un plus grand écran serait top. Par contre si le prix dépasse les 2000€ je me contenterai sûrement du 24 pouces ou du Mac Mini",0,,
u97vScib2p4,Hello . J’ai investi dans le MacBook Pro M1 13 pouces et Wow tu as raison JB c’est une machine de guerre  . N’étant pas pro ça me suffit largement . Merci,1,,
u97vScib2p4,"N'achetez surtout pas Apple, aucun service pour les clients, ils se moquent de vous ! Annulation de commande, virement perdu, ils m'ont tout fait ! Et aucune réponse c'est la justice qui prend le relai, après discussion je ne suis pas un cas isolé. Faites bien attention",0,,
u97vScib2p4,"Le problème c'est les connectiques. Y en a pas assez sur un Macbook Air comparé à un MacBook pro M1 Pro. Donc bon, le meilleur achat serait entre les deux, avec un MacBook Air avec les connectiques que peut proposer un MacBook Pro.",1,,
u97vScib2p4,"très bonne vidéo +1 
""Apple a rendu enfin ses lettres de noblesse au mot pro"" la je suis pas trop d'accord 
dans le *MONDE PRO* tu peut changer la plupart des composant ce qui n'est pas le cas ,enfin aucun à vrai dire ! (en plus les extensions stockage sont juste lunaire voir abusif) 

Bref il y a rien de PRO meme pas la puissance brut ou encore l'écran tactile 
très utile pour la productivité de certaines applications comme la cartographie , synoptique , retouche rapide ect .

conclusion *très très bonne machine* pour un(e) cadre qui joue pas et cherche la simplicité et faire de temps en temps des montage vidéo de vacances et loisir 


* Perso j'ai une RTX 6000 (24go) qui donc date pas mal , elle est encore capable d'être 3 à 4 fois plus rapide que le plus rapide des M1 MAX sur un gros calcul...",1,,
