,video_Id,comment,label
0,u97vScib2p4,"Salut, je voudrais savoir si le M1 pro gère bien les machines virtuelles avec Windows et Linux ? Merci",1.0
1,u97vScib2p4,"Bonjour. Excellente vidéo très intéressante, par contre je suis encore plus perdue. Je suis étudiant en informatique j'ai besoin de beaucoup de puissance. A part ça, je fais beaucoup de productions et me lance dans la vidéo. Lequel choisir pour ces usages et lequel pour durer dans le temps ?? Aider",1.0
2,u97vScib2p4,"J'ai pris le MacBook Pro M1 16Go RAM 512Go SSD en septembre et je l'aime beaucoup. Je ne pense pas qu'Apple devrait le retirer car tout le monde ne peut pas se permettre les nouveaux. J'utilise le mien pour la gestion de communauté, la création de contenu, etc. J'aime beaucoup le bouton Bar ! Je voulais attendre les nouveautés mais je ne suis pas vraiment fan du design à encoche. Et le Mac book Air trop fin pour moi et je le trouve pas aussi efficace que le MBP après c'est efficace c'est vrai !!!",1.0
3,u97vScib2p4,"Bonjour, faites-vous un concours cette année ?",0.0
4,u97vScib2p4,Je ne mettrais jamais 5000 balles dans cette chose rétrécie. Chromebook est le meilleur,0.0
5,u97vScib2p4,"1200€ pour faire tourner logic pro x quel mac me conseillez vous ?
merci pour ta vidéo elle est parfaite",0.0
6,u97vScib2p4,"On ne peut plus rien commander chez Apple... dommage, est-ce que quelqu'un sait quand ils remettront le stock ?",0.0
7,u97vScib2p4,"JB tu fais quoi de tous ces MAC ????????? Les revendez-vous ou les rangez-vous dans un placard ?
Personnellement un seul suffit, en avoir autant n'est pas bon pour la planète MDR",0.0
8,u97vScib2p4,"J'ai pris un MacBook Pro 13 en septembre, c'est vraiment choquant la durée de vie de la batterie, l'ordinateur reste froid même en l'utilisant au lit, pas de bruit, très fluide pour mon utilisation, sûrement l'un des meilleurs investissements que j'aurais pu faire",1.0
9,u97vScib2p4,Bonjour JB L sava,0.0
10,u97vScib2p4,"Super vidéo, merci !
Petite question, puisque l'écran du M1 Pro 14 est plus grand, n'est-il pas proche de la taille des MacBook 15 d'ancienne génération (2018, etc.) ?",1.0
11,u97vScib2p4,"Bonjour JB merci pour cette vidéo
Pensez-vous que le nouveau Macbook air sortira en mai/juin ou plutôt en octobre ? :)
Merci pour votre retour,",1.0
12,u97vScib2p4,"Super vidéo, merci !
Petite question, puisque l'écran du M1 Pro 14 est plus grand, n'est-il pas proche de la taille des MacBook 15 d'ancienne génération (2018, etc.) ?",1.0
13,u97vScib2p4,A quand les iMacs M1 Pro et M1 Max ? C'est le genre de produit que j'attends. Je ne me vois pas revenir à un ordinateur portable.,1.0
